,author,statement,source,date,target
758,Andy Nguyen,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",Facebook posts,"July 29, 2022",false
759,Madison Czopek,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",Facebook posts,"July 29, 2022",false
760,Monique Curet,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",The Gateway Pundit,"July 29, 2022",false
761,Yacob Reyes,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",Facebook posts,"July 29, 2022",false
762,Amy Sherman,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",The Gateway Pundit,"July 29, 2022",pants-fire
763,Grace Abels,NASA photos of the moon and Earth show that “space is fake.”,Viral image,"July 28, 2022",pants-fire
764,Jill Terreri,The entire banking system in Canada is closing down.,Facebook posts,"• July 28,",false
765,Grace Abels,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,Viral image,"July 28, 2022",false
766,Andy Nguyen,"""Plankton in the Atlantic Ocean is 90% gone.""",Instagram posts,"July 27, 2022",false
767,Jeff Cercone,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,Instagram posts,"July 27, 2022",pants-fire
768,Jeff Cercone,Germany weather maps show media exaggerating effects of climate change.,Facebook posts,"July 27, 2022",false
769,Louis Jacobson,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',Instagram posts,"July 27, 2022",false
770,Monique Curet,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",Facebook posts,"July 26, 2022",pants-fire
771,Yacob Reyes,"Val Demings ""called abolishing the police 'thoughtful.'""",Marco Rubio,"July 26, 2022",false
772,Kristin Hugo,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",Facebook posts,"July 26, 2022",false
773,Andy Nguyen,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,Facebook posts,"July 26, 2022",pants-fire
774,Luiz Romero,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",Instagram posts,"July 26, 2022",pants-fire
775,Colleen DeGuzman,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,American Commitment,"July 25, 2022",false
776,Ciara O'Rourke,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",Facebook posts,"July 22, 2022",pants-fire
777,Amy Sherman,Ranked choice voting in Alaska is a “total rigged deal.”,Donald Trump,"July 22, 2022",pants-fire
778,Ellie Borst,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""",Instagram posts,"July 22, 2022",false
779,Ciara O'Rourke,“Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19.,Facebook posts,"July 22, 2022",false
780,Ciara O'Rourke,George Floyd and COVID-19 “never existed.”,Viral image,"July 22, 2022",pants-fire
781,Ciara O'Rourke,The New York Times reported on a conservative activist’s “superdiarrhea.”,Viral image,"July 22, 2022",false
782,Louis Jacobson,"Democrats, including President Joe Biden, “stopped domestic drilling” for oil, driving gasoline prices higher.",Herschel Walker,"July 22, 2022",false
783,Jeff Cercone,Tennessee court rules “taxpayer-funded establishments can place signs that say ‘No Jews allowed.’”,Instagram posts,"July 22, 2022",false
784,Madison Czopek,“The gunman at Greenwood Park Mall was a CIA asset.”,Facebook posts,"July 21, 2022",false
785,Ciara O'Rourke,A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Viral image,"July 21, 2022",false
786,Ciara O'Rourke,Video shows Joe Biden sleeping at the Arab Conference in Saudi Arabia.,Instagram posts,"July 21, 2022",false
787,Bill McCarthy,An image shows Rep. Marjorie Taylor Greene in front of a cross with a figurine of former President Donald Trump on it.,TikTok posts,"July 21, 2022",false
788,Ciara O'Rourke,"Donald Trump gave a speech in Prescott Valley, Arizona, on July 18, 2022.",Facebook posts,"July 21, 2022",false
789,Ciara O'Rourke,“Biden threatens to assassinate Ukraine president.”,Facebook posts,"July 21, 2022",pants-fire
790,Andy Nguyen,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,Facebook posts,"July 21, 2022",false
791,Bill McCarthy,Rep. Alexandria Ocasio-Cortez was “faking being arrested” during an abortion-rights protest outside the Supreme Court.,Instagram posts,"July 20, 2022",false
792,Madison Czopek,Images of Plymouth Rock prove sea levels are not rising.,Facebook posts,"July 20, 2022",false
793,Sam Knupp,"“My opponent, Cindy Axne, has actively sought to defund the police.”",Zach Nunn,"July 20, 2022",false
794,Andy Nguyen,Benadryl can be used to reduce swelling from rattlesnake bites.,Facebook posts,"July 20, 2022",false
795,Gabrielle Settles,"“Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.""",Instagram posts,"July 20, 2022",pants-fire
796,Bill McCarthy,"""Antifa was already inside the Capitol with floor plans dressed as Trump supporters"" on Jan. 6, 2021, proving the attack “was 100% a setup.""",Facebook posts,"July 19, 2022",false
797,Ciara O'Rourke,Photo shows a woman who is wanted for impersonating a nurse and kidnapping an infant from a local U.S. hospital.,Viral image,"July 19, 2022",false
798,Nuria Diaz,"""El 11 de mayo de 1987, el London Times informó en su portada: ‘La OMS entregó 50 millones de vacunas contra la viruela del mono, estas provocaron el SIDA a los africanos’.""",Facebook posts,"• July 19,",false
799,Madison Czopek,"“Drought is a lie” designed to limit farming, reduce the food supply and ultimately control Americans.",Facebook posts,"July 19, 2022",pants-fire
800,Ciara O'Rourke,"Jim Jordan told Alexandria Ocasio-Cortez, “You’re just dumb.”",Viral image,"July 19, 2022",false
801,Ciara O'Rourke,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,Viral image,"July 19, 2022",false
802,Ciara O'Rourke,“Antarctica is not a continent.”,Viral image,"July 19, 2022",false
803,Ciara O'Rourke,"Video shows Donald Trump at an Alabama rally on July 13, 2022.",Viral image,"July 19, 2022",false
804,Andy Nguyen,"CNN coverage has evidence of the “single most egregious, real-time example of electronic vote fraud.”",Facebook posts,"July 19, 2022",pants-fire
805,Ciara O'Rourke,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,Instagram posts,"July 18, 2022",false
806,Ciara O'Rourke,R. Kelly “missing after prison security verify he’s escaped beneath facility.”,Instagram posts,"July 18, 2022",false
807,Andy Nguyen,Claims the James Webb Space Telescope is “fakery they got for the masses”,Facebook posts,"July 18, 2022",pants-fire
808,Ciara O'Rourke,KFC is giving away chicken bucket vouchers to customers who share a Facebook post before July 20.,Facebook posts,"July 18, 2022",false
809,Maria Ramirez,"""If a 10-year-old became pregnant as a result of rape and it was threatening her life, then that’s not an abortion.""",Catherine Glenn Foster,"• July 15,",false
810,Bill McCarthy,An image shows an “all aboard the Trump train” truck crashed into a bridge.,Viral image,"July 15, 2022",false
811,Yacob Reyes,"Video shows Biden giving the ""same exact speech"" months apart.",Instagram posts,"July 15, 2022",false
812,Bill McCarthy,Actor Tom Holland is “confirmed to have died.”,Instagram posts,"July 14, 2022",false
813,Gabrielle Settles,"In Kenya, “pregnant women can’t leave the house, so they absolutely have no constructive right to vote.”",Emily Compagno,"July 14, 2022",pants-fire
814,Nuria Diaz,Pilotos protestan contra vacuna COVID-19 en aeropuerto de Atlanta.,Facebook posts,"• July 14,",false
815,D.L. Davis,"The Wisconsin Supreme Court decision declaring ballot drop boxes illegal ""includes the 2020 Presidential Election.""",Donald Trump,"July 14, 2022",pants-fire
816,Ciara O'Rourke,Kevin McCarthy said Nancy Pelosi “should be prosecuted and jailed.”,Facebook posts,"July 14, 2022",false
817,Andy Nguyen,“Adults over 51 can receive $$$ in additional spending for groceries and expenses.”,Facebook posts,"July 13, 2022",false
818,Maria Ramirez,U.S. Rep. Mayra Flores is “the first Mexican-born member of Congress.”,Lauren Boebert,"• July 13,",false
819,Louis Jacobson,"The “average federal income tax” paid by the richest Americans is “8%. … If you’re a cop, a teacher, a firefighter, union worker, you probably pay two to three times that.”",Joe Biden,"July 13, 2022",false
820,Bill McCarthy,Images from Hunter Biden’s laptop show Joe Biden naked with a young girl.,Facebook posts,"July 13, 2022",pants-fire
821,Ellie Borst,"""ADHD does not exist.""",Facebook posts,"July 13, 2022",false
822,Gabrielle Settles,There are no artifacts to prove that slave ships existed.,Tweets,"July 13, 2022",pants-fire
823,Jill Terreri,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,Bloggers,"• July 13,",false
824,Nuria Diaz,Falleció el papa emérito Benedicto XVI.,Instagram posts,"• July 12,",false
825,Yacob Reyes,"""Ron DeSantis still hasn't condemned the Jan. 6 insurrection.""",Charlie Crist,"July 12, 2022",false
826,Jeff Cercone,"Fluoride will eat a hole through concrete, so it’s not safe for your teeth.",Facebook posts,"July 12, 2022",false
827,Ciara O'Rourke,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",Facebook posts,"July 12, 2022",false
828,Ciara O'Rourke,Colloidal silver is “harmless” unless you’re allergic to it.,Instagram posts,"July 12, 2022",false
829,Madison Czopek,"Shooter in Highland Park, Illinois, “bought the gun illegally.”",Facebook posts,"July 12, 2022",false
830,Bill McCarthy,"Shinzo Abe was assassinated because he “didn’t mandate vaccines, sent 1.6 million doses back and gave citizens ivermectin.”",Instagram posts,"July 11, 2022",false
831,Ciara O'Rourke,“The immune system does not exist.”,TikTok posts,"July 11, 2022",false
832,Ciara O'Rourke,“Belarus declares war on Poland.”,Facebook posts,"July 11, 2022",false
833,Jeff Cercone,House Democrats have kicked Rep. Ilhan Omar out of Congress,Facebook posts,"July 11, 2022",pants-fire
834,Ciara O'Rourke,Anthony Bourdain and Chris Cornell were killed while working on a documentary about “widespread pedophilia.”,Viral image,"July 11, 2022",pants-fire
835,Ciara O'Rourke,A photo shows two men on the run who pretend to be homeless and then “attack and rob you.”,Viral image,"July 11, 2022",false
836,Ciara O'Rourke,Elon Musk’s account “is suspended on Twitter after backing out of $44B deal.”,Viral image,"July 11, 2022",false
837,Gabrielle Settles,Fast food chain Wendy’s was “exposed for using horse meat.”,Facebook posts,"July 8, 2022",pants-fire
838,Yacob Reyes,The Civics Secures Democracy Act “would allow the Biden administration to buy off states with $6 billion” if they adopt critical race theory.,Ron DeSantis,"July 8, 2022",false
839,Ciara O'Rourke,“Moscow was engulfed in flames” after a giant explosion.,Facebook posts,"July 8, 2022",false
840,Ciara O'Rourke,“Biden impeachment in progress.”,Facebook posts,"July 8, 2022",pants-fire
841,Ciara O'Rourke,Video shows Joe Biden putting a Medal of Honor on a Vietnam War veteran backward.,Viral image,"July 8, 2022",pants-fire
842,Bill McCarthy,"An image shows that “following his resignation, Boris Johnson has escaped to the sea.”",Tweets,"July 8, 2022",false
843,Bill McCarthy,"President Donald Trump was in a presidential limousine as he left his Jan. 6, 2021, rally at the White House Ellipse.",Facebook posts,"July 8, 2022",false
844,Ciara O'Rourke,“SCOTUS overturned the 2020 election.”,Facebook posts,"July 8, 2022",pants-fire
845,Grace Abels,"Florida Gov. Ron DeSantis “signs bill requiring Florida students, professors to register political views with (the) state.”",Stephen King,"July 7, 2022",false
846,Bill McCarthy,"""Fox offers Chris Wallace's Sunday spot to Candace Owens.""",Facebook posts,"July 7, 2022",false
847,Ciara O'Rourke,A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,Viral image,"July 7, 2022",pants-fire
848,Yacob Reyes,Images show Highland Park shooter had antifa connection,Facebook posts,"July 7, 2022",false
849,Ciara O'Rourke,"The mass shooting in Highland Park, Illinois, was a “false flag.”",Facebook posts,"July 7, 2022",pants-fire
850,Ciara O'Rourke,Ukrainian “attack destroys skyscraper in Moscow.”,Viral image,"July 7, 2022",false
851,Clara Hendrickson,Peter Meijer voted to “create the Adam Schiff-led January 6th Commission.”,John Gibbs,"July 6, 2022",false
852,Andy Nguyen,"Claims the U.S. military is using ""polymer drone flies"" that look and act like a large fly.",Facebook posts,"July 6, 2022",false
853,Gabrielle Settles,"Video shows the aftermath of a mass shooting in Harrisburg, Pennsylvania.",Facebook posts,"July 6, 2022",false
854,Ciara O'Rourke,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,Viral image,"July 6, 2022",false
855,Bill McCarthy,"Says an image shows the Highland Park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting.",Marjorie Taylor Greene,"July 5, 2022",false
856,Ciara O'Rourke,Says Marjorie Taylor Greene said “246 years ago Jesus Christ performed his miracle of making a single days worth of bullets last 8 days.”,Viral image,"July 5, 2022",pants-fire
857,Louis Jacobson,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,Nikki Haley,"July 5, 2022",false
858,Andy Nguyen,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,Facebook posts,"June 30, 2022",pants-fire
859,Samantha Putterman,“Plan B can cause an abortion. It’s right there on the box.”,Instagram posts,"June 30, 2022",false
860,Jeff Cercone,The Founding Fathers of the United States intended that “the church is supposed to direct the government.”,Lauren Boebert,"June 30, 2022",false
861,Bill McCarthy,"An image shows a “UFO photographed on June 21, 2014 by the pilot from the cockpit of an F-16 military plane flying near Lackland Air Force Base of the United States located in San Antonio, Texas.”",Facebook posts,"June 30, 2022",false
862,Grace Abels,"J.K. Rowling tweeted, “If you American birds could keep your legs closed then maybe you wouldn’t need abortions in the first place?”",Viral image,"June 30, 2022",false
863,Nuria Diaz,This is the 911 call placed by the migrants trapped in the truck found in San Antonio.,Facebook posts,"• June 30,",false
864,Nuria Diaz,"Esta grabación muestra una llamada al 911 de los migrantes atrapados en un camión en San Antonio, Texas.",Facebook posts,"• June 30,",false
865,Ciara O'Rourke,“Trump is addressing to the nation today.”,Facebook posts,"June 28, 2022",false
866,Ciara O'Rourke,“Joe Biden just resigned from the White House.”,Facebook posts,"June 28, 2022",pants-fire
867,Bill McCarthy,"No one “with a concealed carry permit ever committed a mass shooting.""",Greg Gutfeld,"June 28, 2022",false
868,Ciara O'Rourke,Photo shows a trashed venue in Glastonbury after climate activist Greta Thunberg spoke there.,Viral image,"June 28, 2022",false
869,Ciara O'Rourke,“Iceland declares all religions are mental disorders.”,Viral image,"June 28, 2022",false
870,Ciara O'Rourke,The Clintons and Bushes were “involved in orchestrating the assassination of JFK Jr.”,Instagram posts,"June 28, 2022",pants-fire
871,Jill Terreri,“We’ve got a parole board right now that has released 20 cop killers in the last two years under Hochul.”,Rob Astorino,"• June 24,",false
872,Jon Greenberg,“American oil is … more affordable” than foreign oil.,Kevin McCarthy,"June 24, 2022",false
873,Samantha Putterman,"According to International Olympic Committee data, “an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022, 769 athletes have died or suffered cardiac arrest.""",Instagram posts,"June 23, 2022",false
874,Laura Schulte,"“Joe Biden’s margin of the less than 21,000 votes in Wisconsin was the tightest of any state in 2020.”",Rebecca Kleefisch,"June 23, 2022",false
875,Bill McCarthy,“Gas in Canada is $9.00 a gallon.”,Instagram posts,"June 22, 2022",false
876,Ciara O'Rourke,A photo shows Marjorie Taylor Greene wearing a Soviet shirt and giving a Nazi salute.,Viral image,"June 22, 2022",pants-fire
877,Grace Abels,"An image shows gas prices on Jan. 6, 2021.",Viral image,"June 21, 2022",false
878,Bill McCarthy,A compilation of images shows what Joe Biden has “done to our country.”,Instagram posts,"June 21, 2022",false
879,Ciara O'Rourke,"Says Jen Psaki said, “President Biden might need kneepads for riding his bike, but the last guy needed kneepads for visiting the Kremlin.”",Viral image,"June 21, 2022",pants-fire
880,Ciara O'Rourke,Prince Harry and Meghan “have finally signed the divorce papers.”,Facebook posts,"June 21, 2022",false
881,Ciara O'Rourke,Thousands of cattle that recently died in Kansas weren’t killed by the heat.,Facebook posts,"June 21, 2022",false
882,Madeline Heim,"Waiting periods for gun purchases may not make a difference, because ""If somebody's decided that they're gonna take their life, they're gonna take their life.""",Van Wanggaard,"June 21, 2022",false
883,Nusaiba Mizan,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",Ted Cruz,"June 21, 2022",false
884,Ciara O'Rourke,Photo shows Kim Jong Un’s weight loss,Viral image,"June 17, 2022",false
885,Louis Jacobson,"Soviet and Chinese communists have “grabbed control” of U.S. entertainment, movies, television, music, academia, K-12 education and the news media.",Monica Crowley,"June 17, 2022",pants-fire
886,Gabrielle Settles,"“U.S. House of Reps. votes 226-194 to criminalize disassembling, cleaning, and re-assembling your gun without a firearm manufacturer’s license, including 8 Republicans!”",Gun Owners of America,"June 17, 2022",false
887,Samantha Putterman,Photo shows U.S. Rep. Lauren Boebert with two scantily dressed men.,Tweets,"June 16, 2022",false
888,Jeff Cercone,Three mass shootings were meant to distract from Hillary Clinton controversies.,Ted Nugent,"June 16, 2022",pants-fire
889,Bill McCarthy,"A Big Boy restaurant sign said Donald Trump ""was right"" when he ""predicted if Biden was elected, you'd see $5, $6 and $7 gas.""",Viral image,"June 15, 2022",false
890,Madison Czopek,95-item list of food-destroying incidents demonstrates that “you are duped if you think they aren’t planning a food shortage.”,Facebook posts,"June 15, 2022",false
891,Monique Curet,A doctor at the Mayo Clinic is misdiagnosing pregnancies of Trump supporters so they have abortions.,Young America's Foundation,"June 15, 2022",pants-fire
892,Samantha Putterman,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",Bloggers,"June 15, 2022",false
893,Jeff Cercone,Justin Bieber’s Ramsay Hunt syndrome and Hailey Bieber’s blood clot were caused by COVID-19 vaccines.,Facebook posts,"June 14, 2022",false
894,Monique Curet,"""President Biden confirm(ed) everyone will receive their $1k gas checks this week!!""",Facebook posts,"June 14, 2022",false
895,Louis Jacobson,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,Karine Jean-Pierre,"June 14, 2022",false
896,Grace Abels,"Image shows Paul Pelosi, bruised, in a booking mugshot.",Viral image,"June 14, 2022",false
897,Samantha Putterman,“Not a single person in the crowd on January 6 was found to be carrying a firearm. Not one.”,Tucker Carlson,"June 13, 2022",false
898,Ciara O'Rourke,There are more females on Facebook than alive in the world.,Facebook posts,"June 13, 2022",false
899,Ciara O'Rourke,“U.S. military at the White House arresting Congress.”,Facebook posts,"June 13, 2022",pants-fire
900,Ciara O'Rourke,“Military take over on May 11 confirmed!”,Facebook posts,"June 13, 2022",pants-fire
901,Bill McCarthy,"“Donald Trump authorized up to 20,000 National Guard troops to protect the Capitol"" before Jan. 6, 2021, but was ""rejected"" by Nancy Pelosi and Chuck Schumer.",Sean Hannity,"June 13, 2022",false
902,Yacob Reyes,“Bennie Thompson actively cheer-led riots in the ’90s.”,Matt Gaetz,"June 13, 2022",false
903,Paul Specht,“A quarter of the entire acreage in the country that is under hemp production is here in North Carolina.”,Julie Mayfield,"June 13, 2022",false
904,Ciara O'Rourke,“U.S. military arrests Michael Sussmann.”,Facebook posts,"June 10, 2022",pants-fire
905,Samantha Putterman,The official pride flag was altered to include Ukrainian colors.,Tweets,"June 10, 2022",false
906,Ciara O'Rourke,A “public health warning” was recently issued for fluoride toothpaste.,Facebook posts,"June 10, 2022",false
907,Andy Nguyen,"""Gavin Newsom reportedly intervened at the request of Nancy Pelosi and directly ordered the California Highway Patrol to drop all charges"" against Paul Pelosi for his DUI arrest.",Instagram posts,"June 10, 2022",false
908,Ciara O'Rourke,Joe Biden approved a “new card” that “gives free health insurance to Americans” who are 25 and older.,Facebook posts,"June 10, 2022",false
909,Samantha Putterman,"The Jan. 6, 2021, attack on the U.S. Capitol “was a dust-up.”",Jack Del Rio,"June 9, 2022",false
910,Ciara O'Rourke,Ray Liotta died because of the COVID-19 vaccine.,Tweets,"June 9, 2022",pants-fire
911,Ciara O'Rourke,Says Barack Obama announced Joe Biden’s death.,Facebook posts,"June 9, 2022",pants-fire
912,Ciara O'Rourke,Joe Biden resigned and “Trump is the new president.”,Facebook posts,"June 9, 2022",pants-fire
913,Jeff Cercone,"White supremacists are going to be “shooting up all Walmarts and will kill Blacks and Mexicans” in San Bernardino, California.",Instagram posts,"June 8, 2022",false
914,Monique Curet,“USDA is predicting egg prices will be $12 a dozen by fall 2022.”,Facebook posts,"June 8, 2022",false
915,Maria Ramirez,Ukraine adopted “laws banning the Russian language.”,Sergey Lavrov,"• June 8,",false
916,Samantha Putterman,Gun manufacturers are “the only industry in the country” that have immunity from lawsuits.,Joe Biden,"June 8, 2022",false
917,Monique Curet,BBC News edited out boos in footage of Boris Johnson arriving at the Queen’s Platinum Jubilee thanksgiving service.,Tweets,"June 7, 2022",false
918,Jeff Cercone,"""In Zimbabwe, people have started selling their toes for thousands of dollars due to (the) high cost of living.”",Facebook posts,"June 7, 2022",false
919,Gabrielle Settles,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,Facebook posts,"June 7, 2022",pants-fire
920,Paul Specht,“The N.C. GOP came out in support of Sen. [Rick] Scott's extremist policy to ‘Rescue America.’”,Barbara Gaskins,"June 7, 2022",false
921,Madison Czopek,"The sale of more than 600,000 Wisconsin deer licenses shows that Wisconsin’s hunters are the “eighth largest army in the world.”",Facebook posts,"June 6, 2022",false
922,Samantha Putterman,Biden gave Americans “the cheapest gas prices on Earth.”,Tweets,"June 6, 2022",false
923,Samantha Putterman,Video shows Ukrainian soldiers shooting down Russian helicopters.,Facebook posts,"June 6, 2022",false
924,Jon Greenberg,The U.S. Justice Department “conservatively estimated that guns are used 1.5 million times per year to save lives.”,Andy Biggs,"June 6, 2022",false
925,Jill Terreri,Illinois high school to implement race-based grading system in 2022-2023 school year,Facebook posts,"• June 3,",false
926,Madeline Heim,"""Our Supreme Court has never taken away a constitutional right.""",Tammy Baldwin,"June 3, 2022",false
927,Samantha Putterman,Speedway is offering $500 fuel cards for $1.95 to help customers with rising fuel costs.,Facebook posts,"June 2, 2022",pants-fire
928,Clara Hendrickson,"""Dead people always vote Democrat.""",Kevin Rinke,"June 2, 2022",false
929,Monique Curet,The World Economic Forum has its own police force.,Charlie Kirk,"June 2, 2022",false
930,Gabrielle Settles,Aaron Salter Jr. was killed by a mass shooter because he was working on creating a water-powered car engine.,Facebook posts,"June 2, 2022",false
931,Samantha Putterman,A Costco gas pump screen said “Don’t blame us. Blame Joe Biden.”,Viral image,"June 1, 2022",false
932,Yacob Reyes,"""Florida man on drugs kills imaginary friend and turns himself in.”",Facebook posts,"June 1, 2022",pants-fire
933,Jeff Cercone,"""Pfizer CEO says it’s their dream to reduce the population by 50% in 2023.”",Bloggers,"June 1, 2022",pants-fire
934,Louis Jacobson,“Nobody in any election in America gets 74% of the votes. Ever. It doesn’t happen.”,Emerald Robinson,"June 1, 2022",pants-fire
935,Madison Czopek,"Active shooter drill at high school in Uvalde, Texas, two months before the elementary school shooting shows the event was a false flag.",Instagram posts,"May 31, 2022",pants-fire
936,Samantha Putterman,"The man who killed the Uvalde, Texas, school shooter “wasn't even an on-duty police officer.”",Facebook posts,"May 31, 2022",false
937,Jeff Cercone,TV interviews with two different men who are each identified as Uvalde victim's father show the Robb Elementary School mass shooting was staged.,Tweets,"May 31, 2022",false
938,Jill Terreri,Bill Gates planned a smallpox-type outbreak.,Facebook posts,"• May 31,",false
939,Samantha Putterman,“These mass shootings happen so much that Ted Cruz really got a template ready to tweet whenever they occur.”,Tweets,"May 27, 2022",false
940,Yacob Reyes,“There hasn't been a single of these mass shootings that have been purchased at a gun show or on the internet.”,Marco Rubio,"May 27, 2022",false
941,Ciara O'Rourke,Says Gov. Greg Abbott offered the uncle of a Uvalde shooting victim money to say “we don’t need stronger gun laws.”,Tweets,"May 27, 2022",pants-fire
942,Samantha Putterman,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",Facebook posts,"May 27, 2022",pants-fire
943,Gabrielle Settles,There’s a “‘positive correlation’ between higher mask usage and COVID-19 deaths.”,Facebook posts,"May 27, 2022",false
944,Ciara O'Rourke,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,Facebook posts,"May 26, 2022",false
945,Gabrielle Settles,A CNN story reported that Rice Krispies added a transgender mascot.,Instagram posts,"May 26, 2022",pants-fire
946,Nusaiba Mizan,"ICE está en Uvalde, Texas, “entonces los padres indocumentados tienen que temer la deportación antes de verificar si sus hijos están vivos"".",Tweets,"May 26, 2022",false
947,Jeff Cercone,"They passed the flu off as COVID-19, and “they’re going to do the same thing with monkeypox and shingles.”",Facebook posts,"May 26, 2022",false
948,Madison Czopek,“We know from past experiences that the most effective tool for keeping kids safe is armed law enforcement on the campus.”,Ted Cruz,"May 26, 2022",false
949,Samantha Putterman,"ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian.",Tweets,"May 25, 2022",false
950,Nusaiba Mizan,"ICE is in Uvalde, Texas, “so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive.”",Tweets,"May 25, 2022",false
951,Maria Ramirez,"This image shows the victims of the school shooting in Uvalde, Texas.",Facebook posts,"• May 25,",false
952,Monique Curet,Suggests a January traffic accident involving lab monkeys was responsible for spreading monkeypox to humans.,Facebook posts,"May 25, 2022",false
953,Tom Kertscher,"“50% of the guns sold in Texas, because of the loopholes, do not pass through a background check.”",Matthew Dowd,"May 25, 2022",false
954,Monique Curet,"El atacante en Uvalde, Texas estaba en Estados Unidos ilegalmente.",Facebook posts,"May 25, 2022",false
955,Ciara O'Rourke,“They just exposed Mark Zuckerberg as a CIA agent.”,Facebook posts,"May 25, 2022",false
956,Ciara O'Rourke,"Photos of a person in a skirt show the Uvalde, Texas, school shooter.",Facebook posts,"May 25, 2022",false
957,Maria Ramirez,Esta imagen muestra a las víctimas del tiroteo en la escuela en Uvalde Texas.,Facebook posts,"• May 25,",false
958,Ciara O'Rourke,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”",Facebook posts,"May 25, 2022",false
959,Monique Curet,“American journalist” Jack Posobiec was “arrested at World Economic Forum.”,Donald Trump Jr.,"May 25, 2022",false
960,Monique Curet,"The Uvalde, Texas, mass shooter was an “illegal alien.”",Facebook posts,"May 25, 2022",false
961,Madison Czopek,“Swedish health authorities considering introducing restrictions because of monkeypox outbreak.”,Facebook posts,"May 25, 2022",false
962,Ciara O'Rourke,"The shooting at an elementary school in Uvalde County, Texas, was a false flag.",Tweets,"May 24, 2022",pants-fire
963,Monique Curet,The current monkeypox outbreak was planned by government and industry leaders.,Facebook posts,"May 24, 2022",false
964,Ciara O'Rourke,Monkeypox “was created in a lab and given via injection.”,Facebook posts,"May 24, 2022",false
965,Ciara O'Rourke,Monkeypox is biological warfare “against us by our governments.”,Facebook posts,"May 24, 2022",false
966,Ciara O'Rourke,“Bill Gates is behind the monkeypox outbreaks.”,Facebook posts,"May 24, 2022",pants-fire
967,Monique Curet,"The World Health Assembly was canceled ""after the Geneva airport was coincidentally blown up.""",Facebook posts,"May 24, 2022",false
968,Louis Jacobson,"Stacey Abrams ""supported the MLB boycott.""",Chris Carr,"May 24, 2022",false
969,Samantha Putterman,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life.",Facebook posts,"May 23, 2022",false
970,Ciara O'Rourke,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,Viral image,"May 23, 2022",false
971,Amy Sherman,Georgia Gov. Brian Kemp “allowed 7.5 million ballots to be sent to every registered voter.”,David Perdue,"May 23, 2022",false
972,Ciara O'Rourke,A 2021 article about monkeypox that used a photo of a shingles rash proves the monkeypox virus is a hoax.,Facebook posts,"May 23, 2022",false
